"UPC","SourceFile","SourcePath","FileSize","DetectedType","First32Bytes","ASCII"
"63598580034","80034.1","C:\Space\Images\635985\80034.1","736390","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 7D 02 42 02 10 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF","............}.B................."
"63598580026","80026.1","C:\Space\Images\635985\80026.1","646136","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 AB 02 D9 01 10 00 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3","................................"
"63598580006","80006.1","C:\Space\Images\635985\80006.1","647602","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 AE 02 D8 01 10 00 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3","................................"
"63598554890","54890.1","C:\Space\Images\635985\54890.1","634204","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 A7 02 D3 01 10 00 DE FB DE FB DE FB DE FB DE FB DE FB DE FB","................................"
"63598580207","80207.1","C:\Space\Images\635985\80207.1","341130","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 F4 00 BB 02 10 00 00 80 00 80 00 80 00 80 00 80 00 80 00 80","................................"
"63598580207","80207s.1","C:\Space\Images\635985\80207s.1","341130","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 F4 00 BB 02 10 00 00 80 00 80 00 80 00 80 00 80 00 80 00 80","................................"
"63598520028","20028.1","C:\Space\Images\635985\20028.1","747648","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 7F 02 49 02 10 00 9C F3 BD F7 BD F7 BD F7 DE FB DE FB DE FB","..............I................."
"63598526066","26066.1","C:\Space\Images\635985\26066.1","738822","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 7E 02 43 02 10 00 DE FB FF FF FF FF FF FF FF FF FF FF FF FF","............~.C................."
"63598502598","02598.1","C:\Space\Images\635985\02598.1","750404","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 7D 02 4D 02 10 00 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3","............}.M................."
"63598526087","26087.1","C:\Space\Images\635985\26087.1","742536","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 7F 02 45 02 10 00 BD 77 DE 7B FF 7F FF 7F FF 7F FF 7F FF 7F","..............E....w.{.........."
"63598510033","10033.1","C:\Space\Images\635985\10033.1","910156","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 31 03 2D 02 10 00 DE FB DE FB DE FB DE FB DE FB DE FB DE FB","............1.-................."
"63598580161","80161.1","C:\Space\Images\635985\80161.1","821550","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 9D 02 66 02 10 00 7B 6F 7B 6F 9C 73 9C 73 9C 73 9C 73 9C 73","..............f...{o{o.s.s.s.s.s"
"63598520025","20025.1","C:\Space\Images\635985\20025.1","820428","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 9B 02 67 02 10 00 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3","..............g................."
"63598526089","26089.1","C:\Space\Images\635985\26089.1","922822","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 35 03 32 02 10 00 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3 9C F3","............5.2................."
"68813512021","12021.1","C:\Space\Images\688135\12021.1","37994","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 73 00 6E 00 18 00 46 3D 50 35 29 3E 33 24 39 2A 17 28 24 12","............s.n...F=P5)>3$9*.($."
"68149600104","00104.1","C:\Space\Images\681496\00104.1","46764","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 9F 00 93 00 10 00 09 31 86 28 85 24 85 28 85 24 85 24 85 24","...................1.(.$.(.$.$.$"
"8769283631","83631.1","C:\Space\Images\87692\83631.1","49964","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 60 00 82 00 20 08 FF FF FF DC FF FF FF ED FF FF FF ED FF FF","............`... ..............."
"70259600011","00011.1","C:\Space\Images\702596\00011.1","50544","Unknown","00 00 02 00 00 00 00 00 00 00 00 00 65 00 7D 00 20 08 45 53 24 00 3E 4D 17 00 3A 4E 19 00 38 49","............e.}. .ES$.>M..:N..8I"
