"UPC","Folder","FileName","Reason"
"81007023893","810070","23893","Neither 23893.1 nor 23893s.1 exists"
"85002352206","850023","52206","Neither 52206.1 nor 52206s.1 exists"
"81011713143","810117","13143","Neither 13143.1 nor 13143s.1 exists"
"9999201161","99992","01161","Neither 01161.1 nor 01161s.1 exists"
"9999224120","99992","24120","Neither 24120.1 nor 24120s.1 exists"
"9999212120","99992","12120","Neither 12120.1 nor 12120s.1 exists"
"9999201160","99992","01160","Neither 01160.1 nor 01160s.1 exists"
"9999201120","99992","01120","Neither 01120.1 nor 01120s.1 exists"
"8043200006","80432","00006","Neither 00006.1 nor 00006s.1 exists"
"19871529757","198715","29757","Neither 29757.1 nor 29757s.1 exists"
"64286008081","642860","08081","Neither 08081.1 nor 08081s.1 exists"
"85002850972","850028","50972","Neither 50972.1 nor 50972s.1 exists"
"85797800688","857978","00688","Source folder does not exist"
"85797800652","857978","00652","Source folder does not exist"
"7199000529","71990","00529","Neither 00529.1 nor 00529s.1 exists"
"8769200042","87692","00042","Neither 00042.1 nor 00042s.1 exists"
