"UPC","Folder","SourceFile","SourcePath","OutputPath","FileSizeBytes","FromStreamError","WICError"
"63598580034","635985","80034.1","C:\Space\Images\635985\80034.1","C:\Temp\Big Red PSA Images\635985\80034.png","736390","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598580026","635985","80026.1","C:\Space\Images\635985\80026.1","C:\Temp\Big Red PSA Images\635985\80026.png","646136","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598580006","635985","80006.1","C:\Space\Images\635985\80006.1","C:\Temp\Big Red PSA Images\635985\80006.png","647602","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598554890","635985","54890.1","C:\Space\Images\635985\54890.1","C:\Temp\Big Red PSA Images\635985\54890.png","634204","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598580207","635985","80207.1","C:\Space\Images\635985\80207.1","C:\Temp\Big Red PSA Images\635985\80207.png","341130","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598580207","635985","80207s.1","C:\Space\Images\635985\80207s.1","C:\Temp\Big Red PSA Images\635985\80207s.png","341130","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598520028","635985","20028.1","C:\Space\Images\635985\20028.1","C:\Temp\Big Red PSA Images\635985\20028.png","747648","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598526066","635985","26066.1","C:\Space\Images\635985\26066.1","C:\Temp\Big Red PSA Images\635985\26066.png","738822","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598502598","635985","02598.1","C:\Space\Images\635985\02598.1","C:\Temp\Big Red PSA Images\635985\02598.png","750404","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598526087","635985","26087.1","C:\Space\Images\635985\26087.1","C:\Temp\Big Red PSA Images\635985\26087.png","742536","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598510033","635985","10033.1","C:\Space\Images\635985\10033.1","C:\Temp\Big Red PSA Images\635985\10033.png","910156","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598580161","635985","80161.1","C:\Space\Images\635985\80161.1","C:\Temp\Big Red PSA Images\635985\80161.png","821550","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598520025","635985","20025.1","C:\Space\Images\635985\20025.1","C:\Temp\Big Red PSA Images\635985\20025.png","820428","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63598526089","635985","26089.1","C:\Space\Images\635985\26089.1","C:\Temp\Big Red PSA Images\635985\26089.png","922822","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"68813512021","688135","12021.1","C:\Space\Images\688135\12021.1","C:\Temp\Big Red PSA Images\688135\12021.png","37994","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"68149600104","681496","00104.1","C:\Space\Images\681496\00104.1","C:\Temp\Big Red PSA Images\681496\00104.png","46764","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"8769283631","87692","83631.1","C:\Space\Images\87692\83631.1","C:\Temp\Big Red PSA Images\87692\83631.png","49964","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"70259600011","702596","00011.1","C:\Space\Images\702596\00011.1","C:\Temp\Big Red PSA Images\702596\00011.png","50544","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"65268200502","652682","00502.1","C:\Space\Images\652682\00502.1","C:\Temp\Big Red PSA Images\652682\00502.png","46444","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63123416114","631234","16114.1","C:\Space\Images\631234\16114.1","C:\Temp\Big Red PSA Images\631234\16114.png","51548","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"7794250016","77942","50016.1","C:\Space\Images\77942\50016.1","C:\Temp\Big Red PSA Images\77942\50016.png","52844","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"8200072908","82000","72908.1","C:\Space\Images\82000\72908.1","C:\Temp\Big Red PSA Images\82000\72908.png","795824","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"8200075748","82000","75748.1","C:\Space\Images\82000\75748.1","C:\Temp\Big Red PSA Images\82000\75748.png","706218","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"8200079876","82000","79876.1","C:\Space\Images\82000\79876.1","C:\Temp\Big Red PSA Images\82000\79876.png","507378","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"8200072751","82000","72751.1","C:\Space\Images\82000\72751.1","C:\Temp\Big Red PSA Images\82000\72751.png","686190","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"78036980012","780369","80012.1","C:\Space\Images\780369\80012.1","C:\Temp\Big Red PSA Images\780369\80012.png","49820","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"8769200004","87692","00004.1","C:\Space\Images\87692\00004.1","C:\Temp\Big Red PSA Images\87692\00004.png","49940","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"8769230050","87692","30050.1","C:\Space\Images\87692\30050.1","C:\Temp\Big Red PSA Images\87692\30050.png","50864","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"92699009188","926990","09188.1","C:\Space\Images\926990\09188.1","C:\Temp\Big Red PSA Images\926990\09188.png","51396","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"3410051674","34100","51674.1","C:\Space\Images\34100\51674.1","C:\Temp\Big Red PSA Images\34100\51674.png","217244","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"71905700131","719057","00131.1","C:\Space\Images\719057\00131.1","C:\Temp\Big Red PSA Images\719057\00131.png","44562","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"8066095301","80660","95301.1","C:\Space\Images\80660\95301.1","C:\Temp\Big Red PSA Images\80660\95301.png","51072","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"2210000074","22100","00074s.1","C:\Space\Images\22100\00074s.1","C:\Temp\Big Red PSA Images\22100\00074s.png","50846","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"2210000071","22100","00071.1","C:\Space\Images\22100\00071.1","C:\Temp\Big Red PSA Images\22100\00071.png","50816","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"81994200003","819942","00003s.1","C:\Space\Images\819942\00003s.1","C:\Temp\Big Red PSA Images\819942\00003s.png","50884","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"3410000624","34100","00624s.1","C:\Space\Images\34100\00624s.1","C:\Temp\Big Red PSA Images\34100\00624s.png","50688","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"7336011754","73360","11754s.1","C:\Space\Images\73360\11754s.1","C:\Temp\Big Red PSA Images\73360\11754s.png","44762","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"7336011751","73360","11751.1","C:\Space\Images\73360\11751.1","C:\Temp\Big Red PSA Images\73360\11751.png","48738","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"5230000435","52300","00435.1","C:\Space\Images\52300\00435.1","C:\Temp\Big Red PSA Images\52300\00435.png","37484","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63883602001","638836","02001.1","C:\Space\Images\638836\02001.1","C:\Temp\Big Red PSA Images\638836\02001.png","52124","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"63883602005","638836","02005.1","C:\Space\Images\638836\02005.1","C:\Temp\Big Red PSA Images\638836\02005.png","49896","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"72734400007","727344","00007.1","C:\Space\Images\727344\00007.1","C:\Temp\Big Red PSA Images\727344\00007.png","64496","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"72734400038","727344","00038.1","C:\Space\Images\727344\00038.1","C:\Temp\Big Red PSA Images\727344\00038.png","46610","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
"72734400023","727344","00023.1","C:\Space\Images\727344\00023.1","C:\Temp\Big Red PSA Images\727344\00023.png","46500","Exception calling ""FromStream"" with ""3"" argument(s): ""Parameter is not valid.""","Exception calling ""Create"" with ""3"" argument(s): ""The image decoder cannot decode the image. The image might be corrupted."""
