"UPC","SourceFile","OutputFile","Width","Height","BitDepth","Result"
"63598580034","C:\Space\Images\635985\80034.1","C:\Temp\Big Red PSA Images\635985\80034.png","637","578","16","Recovered"
"63598580026","C:\Space\Images\635985\80026.1","C:\Temp\Big Red PSA Images\635985\80026.png","683","473","16","Recovered"
"63598580006","C:\Space\Images\635985\80006.1","C:\Temp\Big Red PSA Images\635985\80006.png","686","472","16","Recovered"
"63598554890","C:\Space\Images\635985\54890.1","C:\Temp\Big Red PSA Images\635985\54890.png","679","467","16","Recovered"
"63598580207","C:\Space\Images\635985\80207.1","C:\Temp\Big Red PSA Images\635985\80207.png","244","699","16","Recovered"
"63598580207","C:\Space\Images\635985\80207s.1","C:\Temp\Big Red PSA Images\635985\80207s.png","244","699","16","Recovered"
"63598520028","C:\Space\Images\635985\20028.1","C:\Temp\Big Red PSA Images\635985\20028.png","639","585","16","Recovered"
"63598526066","C:\Space\Images\635985\26066.1","C:\Temp\Big Red PSA Images\635985\26066.png","638","579","16","Recovered"
"63598502598","C:\Space\Images\635985\02598.1","C:\Temp\Big Red PSA Images\635985\02598.png","637","589","16","Recovered"
"63598526087","C:\Space\Images\635985\26087.1","C:\Temp\Big Red PSA Images\635985\26087.png","639","581","16","Recovered"
"63598510033","C:\Space\Images\635985\10033.1","C:\Temp\Big Red PSA Images\635985\10033.png","817","557","16","Recovered"
"63598580161","C:\Space\Images\635985\80161.1","C:\Temp\Big Red PSA Images\635985\80161.png","669","614","16","Recovered"
"63598520025","C:\Space\Images\635985\20025.1","C:\Temp\Big Red PSA Images\635985\20025.png","667","615","16","Recovered"
"63598526089","C:\Space\Images\635985\26089.1","C:\Temp\Big Red PSA Images\635985\26089.png","821","562","16","Recovered"
"68813512021","C:\Space\Images\688135\12021.1","C:\Temp\Big Red PSA Images\688135\12021.png","115","110","24","Recovered"
"68149600104","C:\Space\Images\681496\00104.1","C:\Temp\Big Red PSA Images\681496\00104.png","159","147","16","Recovered"
"8769283631","C:\Space\Images\87692\83631.1","C:\Temp\Big Red PSA Images\87692\83631.png","96","130","32","Recovered"
"70259600011","C:\Space\Images\702596\00011.1","C:\Temp\Big Red PSA Images\702596\00011.png","101","125","32","Recovered"
"65268200502","C:\Space\Images\652682\00502.1","C:\Temp\Big Red PSA Images\652682\00502.png","139","167","16","Recovered"
"63123416114","C:\Space\Images\631234\16114.1","C:\Temp\Big Red PSA Images\631234\16114.png","111","116","32","Recovered"
"7794250016","C:\Space\Images\77942\50016.1","C:\Temp\Big Red PSA Images\77942\50016.png","100","132","32","Recovered"
"8200072908","C:\Space\Images\82000\72908.1","C:\Temp\Big Red PSA Images\82000\72908.png","671","593","16","Recovered"
"8200075748","C:\Space\Images\82000\75748.1","C:\Temp\Big Red PSA Images\82000\75748.png","550","642","16","Recovered"
"8200079876","C:\Space\Images\82000\79876.1","C:\Temp\Big Red PSA Images\82000\79876.png","604","420","16","Recovered"
"8200072751","C:\Space\Images\82000\72751.1","C:\Temp\Big Red PSA Images\82000\72751.png","542","633","16","Recovered"
"78036980012","C:\Space\Images\780369\80012.1","C:\Temp\Big Red PSA Images\780369\80012.png","102","122","32","Recovered"
"8769200004","C:\Space\Images\87692\00004.1","C:\Temp\Big Red PSA Images\87692\00004.png","99","126","32","Recovered"
"8769230050","C:\Space\Images\87692\30050.1","C:\Temp\Big Red PSA Images\87692\30050.png","105","121","32","Recovered"
"92699009188","C:\Space\Images\926990\09188.1","C:\Temp\Big Red PSA Images\926990\09188.png","98","131","32","Recovered"
"3410051674","C:\Space\Images\34100\51674.1","C:\Temp\Big Red PSA Images\34100\51674.png","300","181","32","Recovered"
"71905700131","C:\Space\Images\719057\00131.1","C:\Temp\Big Red PSA Images\719057\00131.png","128","174","16","Recovered"
"8066095301","C:\Space\Images\80660\95301.1","C:\Temp\Big Red PSA Images\80660\95301.png","137","186","16","Recovered"
"2210000074","C:\Space\Images\22100\00074s.1","C:\Temp\Big Red PSA Images\22100\00074s.png","97","262","16","Recovered"
"2210000071","C:\Space\Images\22100\00071.1","C:\Temp\Big Red PSA Images\22100\00071.png","192","132","16","Recovered"
"81994200003","C:\Space\Images\819942\00003s.1","C:\Temp\Big Red PSA Images\819942\00003s.png","82","155","32","Recovered"
"3410000624","C:\Space\Images\34100\00624s.1","C:\Temp\Big Red PSA Images\34100\00624s.png","98","258","16","Recovered"
"7336011754","C:\Space\Images\73360\11754s.1","C:\Temp\Big Red PSA Images\73360\11754s.png","94","238","16","Recovered"
"7336011751","C:\Space\Images\73360\11751.1","C:\Temp\Big Red PSA Images\73360\11751.png","203","120","16","Recovered"
"5230000435","C:\Space\Images\52300\00435.1","C:\Temp\Big Red PSA Images\52300\00435.png","130","96","24","Recovered"
"63883602001","C:\Space\Images\638836\02001.1","C:\Temp\Big Red PSA Images\638836\02001.png","105","124","32","Recovered"
"63883602005","C:\Space\Images\638836\02005.1","C:\Temp\Big Red PSA Images\638836\02005.png","103","121","32","Recovered"
"72734400007","C:\Space\Images\727344\00007.1","C:\Temp\Big Red PSA Images\727344\00007.png","131","123","32","Recovered"
"72734400038","C:\Space\Images\727344\00038.1","C:\Temp\Big Red PSA Images\727344\00038.png","128","182","16","Recovered"
"72734400023","C:\Space\Images\727344\00023.1","C:\Temp\Big Red PSA Images\727344\00023.png","127","183","16","Recovered"
"72734400105","C:\Space\Images\727344\00105.1","C:\Temp\Big Red PSA Images\727344\00105.png","93","136","32","Recovered"
"1820028523","C:\Space\Images\18200\28523.1","C:\Temp\Big Red PSA Images\18200\28523.png","300","226","32","Recovered"
"8834510140","C:\Space\Images\88345\10140.1","C:\Temp\Big Red PSA Images\88345\10140.png","99","127","32","Recovered"
"8834510140","C:\Space\Images\88345\10140s.1","C:\Temp\Big Red PSA Images\88345\10140s.png","71","181","32","Recovered"
"60580050004","C:\Space\Images\605800\50004.1","C:\Temp\Big Red PSA Images\605800\50004.png","100","127","32","Recovered"
"3410001536","C:\Space\Images\34100\01536.1","C:\Temp\Big Red PSA Images\34100\01536.png","151","83","32","Recovered"
"63598524595","C:\Space\Images\635985\24595s.1","C:\Temp\Big Red PSA Images\635985\24595s.png","100","268","16","Recovered"
"1820000334","C:\Space\Images\18200\00334.1","C:\Temp\Big Red PSA Images\18200\00334.png","301","276","16","Recovered"
"1820096728","C:\Space\Images\18200\96728.1","C:\Temp\Big Red PSA Images\18200\96728.png","293","189","32","Recovered"
"75124925206","C:\Space\Images\751249\25206.1","C:\Temp\Big Red PSA Images\751249\25206.png","118","108","32","Recovered"
"75124924106","C:\Space\Images\751249\24106.1","C:\Temp\Big Red PSA Images\751249\24106.png","130","124","32","Recovered"
"7274906113","C:\Space\Images\72749\06113.1","C:\Temp\Big Red PSA Images\72749\06113.png","131","97","32","Recovered"
"7274906112","C:\Space\Images\72749\06112.1","C:\Temp\Big Red PSA Images\72749\06112.png","156","82","24","Recovered"
"3410000158","C:\Space\Images\34100\00158s.1","C:\Temp\Big Red PSA Images\34100\00158s.png","69","179","32","Recovered"
"72383000017","C:\Space\Images\723830\00017.1","C:\Temp\Big Red PSA Images\723830\00017.png","115","111","32","Recovered"
